Name,Hex,Red (R),Green (G),Blue (B),HSL.H (deg),HSL.S (%),HSL.L (%)
amazon,#3b7a57,59,122,87,147,35,35
medium sea green,#3cb371,60,179,113,147,50,47
traditional forest green,#014421,1,68,33,149,97,14
pigment green,#00a550,0,165,80,149,100,32
sea foam green,#9fe2bf,195,226,191,149,38,82
up forest green,#014421,1,68,33,149,97,14
dark spring green,#177245,23,114,69,150,66,27
guppie green,#00ff7f,0,255,127,150,100,50
mint cream,#f5fffa,245,255,250,150,100,98
spring green,#00ff7f,0,255,127,150,100,50
aero blue,#c9ffe5,201,255,229,151,100,89
phthalo green,#123524,18,53,36,151,49,14
dartmouth green,#00703c,0,112,60,152,100,22
magic mint,#aaf0d1,170,240,209,153,70,80
spanish green,#009150,0,145,80,153,100,28
british racing green,#004225,0,66,37,154,100,13
cadmium green,#006b3c,0,107,60,154,100,21
medium aquamarine,#66ddaa,102,221,170,154,64,63
go green,#00ab66,0,171,102,156,100,34
shamrock green,#009e60,0,158,96,156,100,31
medium spring green,#00fa9a,0,250,154,157,100,49
ocean green,#48bf91,72,191,145,157,48,52
crayola green,#1cac78,28,172,120,158,72,39
jade,#00a86b,0,168,107,158,100,33
mint,#3eb489,62,180,137,158,49,47
aquamarine,#7fffd4,127,255,212,160,100,75
ncs green,#009f6b,0,159,107,160,100,31
green-cyan,#009966,0,153,102,160,100,30
deep aquamarine,#40826d,64,130,109,161,34,38
eucalyptus,#44d7a8,68,215,168,161,65,55
medium jungle green,#1c352d,28,53,45,161,31,16
mountain meadow,#30ba8f,48,186,143,161,59,46
viridian,#40826d,64,130,109,161,34,38
brunswick green,#1b4d3e,27,77,62,162,48,20
dark jungle green,#1a2421,26,36,33,162,16,12
english green,#1b4d3e,27,77,62,162,48,20
pearl aqua,#88d8c0,136,216,192,162,51,69
munsell green,#00a877,0,168,119,163,100,33
hooker's green,#49796b,73,121,107,163,25,38
jungle green,#29ab87,41,171,135,163,61,42
spanish viridian,#007f5c,0,127,92,163,100,25
bangladesh green,#006a4e,0,106,78,164,100,21
bottle green,#006a4e,0,106,78,164,100,21
castleton green,#00563f,0,86,63,164,100,17
illuminating emerald,#319177,49,145,119,164,49,38
sacramento state green,#00563f,0,86,63,164,100,17
caribbean green,#00cc99,0,204,153,165,100,40
deep green-cyan turquoise,#0e7c61,14,124,97,165,80,27
middle red purple,#a55353,0,83,83,165,100,16
polished pine,#5da493,93,164,147,166,28,50
zomp,#39a78e,57,167,142,166,49,44
msu green,#18453b,24,69,59,167,48,18
wintergreen dream,#56887d,86,136,125,167,23,44
generic viridian,#007f66,0,127,102,168,100,25
green sheen,#6eaea1,110,174,161,168,28,56
paolo veronese green,#009b7d,0,155,125,168,100,30
tropical rain forest,#00755e,0,117,94,168,100,23
pale robin egg blue,#96ded1,150,222,209,169,52,73
keppel,#3ab09e,58,176,158,171,50,46
persian green,#00a693,0,166,147,173,100,33
celadon green,#2f847c,47,132,124,174,47,35
turquoise,#40e0d0,64,224,208,174,72,56
pine green,#01796f,1,121,111,175,98,24
myrtle green,#317873,49,120,115,176,42,33
turquoise blue,#00ffef,0,255,239,176,100,50
bright turquoise,#08e8de,8,232,222,177,93,47
light sea green,#20b2aa,32,178,170,177,70,41
verdigris,#43b3ae,67,179,174,177,46,48
deep jungle green,#004b49,0,75,73,178,100,15
medium turquoise,#48d1cc,72,209,204,178,60,55
tiffany blue,#0abab5,10,186,181,178,90,38
teal green,#00827f,0,130,127,179,100,25
aqua,#00ffff,0,255,255,180,100,50
azure mist,#f0ffff,240,255,255,180,100,97
celeste,#b2ffff,178,255,255,180,100,85
charleston green,#232b2b,35,43,43,180,10,15
cyan,#00ffff,0,255,255,180,100,50
dark cyan,#008b8b,0,139,139,180,100,27
dark slate gray,#2f4f4f,47,79,79,180,25,25
desaturated cyan,#669999,102,153,153,180,20,50
electric cyan,#00ffff,0,255,255,180,100,50
italian sky blue,#b2ffff,178,255,255,180,100,85
light cyan,#e0ffff,224,255,255,180,100,94
maximum blue green,#30bfbf,48,191,191,180,60,47
pale blue,#afeeee,175,238,238,180,65,81
pale turquoise,#afeeee,175,238,238,180,65,81
rich black,#004040,0,64,64,180,100,13
robin egg blue,#00cccc,0,204,204,180,100,40
skobeloff,#007474,0,116,116,180,100,23
spanish sky blue,#00ffff,0,255,255,180,100,50
teal,#008080,0,128,128,180,100,25
warm black,#004242,0,66,66,180,100,13
dark turquoise,#00ced1,0,206,209,181,100,41
steel teal,#5f8a8b,95,138,139,181,19,46
viridian green,#009698,0,150,152,181,100,30
cadet blue,#5f9ea0,95,158,160,182,25,50
turquoise surf,#00c5cd,0,197,205,182,100,40
aurometalsaurus,#6e7f80,110,127,128,183,8,47
bubbles,#e7feff,231,254,255,183,100,95
dark imperial blue,#00147e,0,20,126,183,100,25
electric blue,#7df9ff,125,249,255,183,100,75
sea serpent,#4bc7cf,75,199,207,184,58,55
waterspout,#a4f4f9,164,244,249,184,88,81
metallic seaweed,#0a7e8c,10,126,140,186,87,29
midnight green (eagle green),#004953,0,73,83,187,100,16
powder blue,#b0e0e6,176,224,230,187,52,80
blizzard blue,#ace5ee,172,229,238,188,66,80
blue lagoon,#ace5ee,172,229,238,188,66,80
ming,#36747d,54,116,125,188,40,35
japanese indigo,#264348,38,67,72,189,31,22
stormcloud,#4f666a,79,102,106,189,15,36
medium sky blue,#80daeb,128,218,235,190,73,71
munsell blue,#0093af,0,147,175,190,100,34
bondi blue,#0095b6,0,149,182,191,100,36
diamond,#b9f2ff,185,242,255,191,100,86
outer space,#414a4c,65,74,76,191,8,28
pacific blue,#1ca9c9,28,169,201,191,76,45
ball blue,#21abcd,33,171,205,192,72,47
blue-green,#0d98ba,13,152,186,192,87,39
vivid sky blue,#00ccff,0,204,255,192,100,50
non-photo blue,#a4dded,164,221,237,193,67,79
battery charged blue,#1dacd6,29,172,214,194,76,48
bright cerulean,#1dacd6,29,172,214,194,76,48
deep space sparkle,#4a646c,74,100,108,194,19,36
teal blue,#367588,54,117,136,194,43,37
capri,#00bfff,0,191,255,195,100,50
deep sky blue,#00bfff,0,191,255,195,100,50
light blue,#add8e6,173,216,230,195,53,79
maximum blue,#47abcc,71,171,204,195,57,54
onyx,#353839,53,56,57,195,4,22
spiro disco ball,#0fc0fc,15,192,252,195,98,52
blue bolt,#00b9fb,0,185,251,196,100,49
celadon blue,#007ba7,0,123,167,196,100,33
cerulean,#007ba7,0,123,167,196,100,33
cg blue,#007aa5,0,122,165,196,100,32
fresh air,#a6e7ff,166,231,255,196,100,83
pastel blue,#aec6cf,174,198,207,196,26,75
winter wizard,#a0e6ff,160,230,255,196,100,81
blue sapphire,#126180,18,97,128,197,75,29
ncs blue,#0087bd,0,135,189,197,100,37
sea blue,#006994,0,105,148,197,100,29
sky blue,#87ceeb,135,206,235,197,71,73
vivid cerulean,#00aaee,0,170,238,197,100,47
baby blue,#89cff0,137,207,240,199,77,74
cadet,#536872,83,104,114,199,16,39
cyan cornflower blue,#188bc2,24,139,194,199,78,43
dark sky blue,#8cbed6,140,190,214,199,47,69
moonstone blue,#73a9c2,115,169,194,199,39,61
rich electric blue,#0892d0,8,146,208,199,93,42
columbia blue,#c4d8e2,196,216,226,200,34,83
gunmetal,#2a3439,42,52,57,200,15,19
pale cyan,#87d3f8,135,211,248,200,89,75
pewter blue,#8ba8b7,139,168,183,200,23,63
picton blue,#45b1e8,69,177,232,200,78,59
silver sand,#bfc1c2,191,193,194,200,2,75
star command blue,#007bb8,0,123,184,200,100,36
light cornflower blue,#93ccea,147,204,234,201,67,75
dark gunmetal,#1f262a,31,38,42,202,15,14
ocean boat blue,#0077be,0,119,190,202,100,37
dark imperial blue,#00416a,0,65,106,203,100,21
french blue,#0072bb,0,114,187,203,100,37
honolulu blue,#006db0,0,109,176,203,100,35
light sky blue,#87cefa,135,206,250,203,92,75
medium persian blue,#0067a5,0,103,165,203,100,32
sapphire blue,#0067a5,0,103,165,203,100,32
spanish blue,#0070b8,0,112,184,203,100,36
carolina blue,#56a0d3,86,160,211,204,59,58
charcoal,#36454f,54,69,79,204,19,26
rackley,#5d8aa8,93,138,168,204,30,51
raf air force blue,#5d8aa8,93,138,168,204,30,51
weldon blue,#7c98ab,124,152,171,204,22,58
air superiority blue,#72a0c1,114,160,193,205,39,60
cadet grey,#91a3b0,145,163,176,205,16,63
celestial blue,#4997d0,73,151,208,205,59,55
maya blue,#73c2fb,115,194,251,205,94,72
pale cerulean,#9bc4e2,155,196,226,205,55,75
prussian blue,#003153,0,49,83,205,100,16
aero,#7cb9e8,124,185,232,206,70,70
arsenic,#3b444b,59,68,75,206,12,26
azureish white,#dbe9f4,219,233,244,206,53,91
beau blue,#bcd4e6,188,212,230,206,46,82
blue jeans,#5dadec,93,173,236,206,79,65
dark electric blue,#536878,83,104,120,206,18,40
pale aqua,#bcd4e6,188,212,230,206,46,82
payne's grey,#536878,83,104,120,206,18,40
iceberg,#71a6d2,113,166,210,207,52,63
rich black,#010b13,1,11,19,207,90,4
steel blue,#4682b4,70,130,180,207,44,49
true blue,#0073cf,0,115,207,207,100,41
alice blue,#f0f8ff,240,248,255,208,100,97
cerulean frost,#6d9bc3,109,155,195,208,42,60
very light azure,#74bbfb,116,187,251,208,94,72
baby blue eyes,#a1caf1,161,202,241,209,74,79
black coral,#54626f,84,98,111,209,14,38
cyan azure,#4e82b4,78,130,180,209,41,51
dark cerulean,#08457e,8,69,126,209,88,26
green-blue,#1164b4,17,100,180,209,83,39
medium electric blue,#035096,3,80,150,209,96,30
usafa blue,#004f98,0,79,152,209,100,30
anti-flash white,#f2f3f4,242,243,244,210,8,95
azure,#007fff,0,127,255,210,100,50
bleu de france,#318ce7,49,140,231,210,79,55
blue-gray,#6699cc,102,153,204,210,50,60
bright navy blue,#1974d2,25,116,210,210,79,46
brilliant azure,#3399ff,51,153,255,210,100,60
cyan-blue azure,#4682bf,70,130,191,210,49,51
dark midnight blue,#003366,0,51,102,210,100,20
dodger blue,#1e90ff,30,144,255,210,100,56
lapis lazuli,#26619c,38,97,156,210,61,38
light slate gray,#778899,119,136,153,210,14,53
livid,#6699cc,102,153,204,210,50,60
pale cornflower blue,#abcdef,171,205,239,210,68,80
slate gray,#708090,112,128,144,210,13,50
tufts blue,#3e8ede,62,142,222,210,71,56
queen blue,#436b95,67,107,149,211,38,42
cool black,#002e63,0,46,99,212,100,19
dark pastel blue,#779ecb,119,158,203,212,45,63
french sky blue,#77b5fe,119,181,254,212,99,73
little boy blue,#6ca0dc,108,160,220,212,62,64
maastricht blue,#001c3d,0,28,61,212,100,12
oxford blue,#002147,0,33,71,212,100,14
silver lake blue,#5d89ba,93,137,186,212,40,55
yale blue,#0f4d92,15,77,146,212,81,32
denim,#1560bd,21,96,189,213,80,41
jordy blue,#8ab9f1,138,185,241,213,79,74
brandeis blue,#0070ff,0,112,255,214,100,50
light steel blue,#b0c4de,176,196,222,214,41,78
shadow blue,#778ba5,119,139,165,214,20,56
b'dazzled blue,#2e5894,46,88,148,215,53,38
cobalt blue,#0047ab,0,71,171,215,100,34
cyan cobalt blue,#28589c,40,88,156,215,59,38
light cobalt blue,#88ace0,136,172,224,215,59,71
glaucous,#6082b6,96,130,182,216,37,55
sapphire,#0f52ba,15,82,186,216,85,39
united nations blue,#5b92e5,91,146,229,216,73,63
absolute zero,#0048ba,0,72,186,217,100,37
blue yonder,#5072a7,80,114,167,217,35,48
crayola blue,#1f75fe,31,117,254,217,99,56
vista blue,#7c9ed9,124,158,217,218,55,67
cornflower blue,#6495ed,100,149,237,219,79,66
royal blue,#002366,0,35,102,219,100,20
blueberry,#4f86f7,79,134,247,220,91,64
dark powder blue,#003399,0,51,153,220,100,30
royal azure,#0038a8,0,56,168,220,100,33
smalt,#003399,0,51,153,220,100,30
usaf air force blue,#00308f,0,48,143,220,100,28
catalina blue,#062a78,6,42,120,221,90,25
roman silver,#838996,131,137,150,221,8,55
ucla blue,#536895,83,104,149,221,28,46
yankees blue,#1c2841,28,40,65,221,40,18
ua blue,#0033aa,0,51,170,222,100,33
han blue,#446ccf,68,108,207,223,59,54
international klein blue,#002fa7,0,47,167,223,100,33
new car,#214fc6,33,79,198,223,71,45
cerulean blue,#2a52be,42,82,190,224,64,45
resolution blue,#002387,0,35,135,224,100,26
ryb blue,#0247fe,2,71,254,224,99,50
ceil,#92a1cf,146,161,207,225,39,69
royal blue,#4169e1,65,105,225,225,73,57
egyptian blue,#1034a6,16,52,166,226,82,36
imperial blue,#002395,0,35,149,226,100,29
space cadet,#1d2951,29,41,81,226,47,22
wild blue yonder,#a2add0,162,173,208,226,33,73
denim blue,#2243b6,34,67,182,227,69,42
ultramarine blue,#4166f5,65,102,245,228,90,61
cool grey,#8c92ac,140,146,172,229,16,61
gray-blue,#8c92ac,140,146,172,229,16,61
persian blue,#1c39bb,28,57,187,229,74,42
violet-blue,#324ab2,50,74,178,229,56,45
indigo dye,#091f92,9,31,146,230,88,30
independence,#4c516d,76,81,109,231,18,36
manatee,#979aaa,151,154,170,231,10,63
pantone blue,#0018a8,0,24,168,231,100,33
phthalo blue,#000f89,0,15,137,233,100,27
zaffre,#0014a8,0,20,168,233,100,33
glitter,#e6e8fa,230,232,250,234,67,94
palatinate blue,#273be2,39,59,226,234,76,52
liberty,#545aa7,84,90,167,236,33,49
middle yellow red,#ecb176,166,58,121,236,48,44
purple navy,#4e5180,78,81,128,236,24,40
st. patrick's blue,#23297a,35,41,122,236,55,31
blue,#0000ff,0,0,255,240,100,50
blue bell,#a2a2d0,162,162,208,240,33,73
bluebonnet,#1c1cf0,28,28,240,240,88,53
dark blue,#00008b,0,0,139,240,100,27
dark blue-gray,#666699,102,102,153,240,20,50
deep koamaru,#333366,51,51,102,240,33,30
duke blue,#00009c,0,0,156,240,100,31
ghost white,#f8f8ff,248,248,255,240,100,99
lavender,#e6e6fa,230,230,250,240,67,94
lavender blue,#ccccff,204,204,255,240,100,90
lavender mist,#e6e6fa,230,230,250,240,67,94
maximum blue purple,#acace6,172,172,230,240,54,79
medium blue,#0000cd,0,0,205,240,100,40
midnight blue,#191970,25,25,112,240,64,27
navy,#000080,0,0,128,240,100,25
periwinkle,#ccccff,204,204,255,240,100,90
pigment blue,#333399,51,51,153,240,50,40
very light blue,#6666ff,102,102,255,240,100,70
cosmic cobalt,#2e2d88,46,45,136,241,50,36
rhythm,#777696,119,118,150,242,13,53
ultramarine,#3f00ff,18,10,143,244,87,30
iris,#5a4fcf,90,79,207,245,57,56
lavender gray,#c4c3d0,196,195,208,245,12,79
toolbox,#746cc0,116,108,192,246,40,59
majorelle blue,#6050dc,96,80,220,247,67,59
ocean blue,#4f42b5,79,66,181,247,47,48
dark slate blue,#483d8b,72,61,139,248,39,39
slate blue,#6a5acd,106,90,205,248,53,58
medium slate blue,#7b68ee,123,104,238,249,80,67
soap,#cec8ef,206,200,239,249,55,86
plump purple,#5946b2,89,70,178,251,44,49
interdimensional blue,#360ccc,54,12,204,253,89,42
ube,#8878c3,136,120,195,253,39,62
electric ultramarine,#3f00ff,63,0,255,255,100,50
han purple,#5218fa,82,24,250,255,96,54
pale lavender,#dcd0ff,220,208,255,255,100,91
persian indigo,#32127a,50,18,122,258,74,27
medium purple,#9370db,147,112,219,260,60,65
middle blue purple,#8b72be,139,114,190,260,37,60
pixie powder,#391285,57,18,133,260,76,30
blue-magenta violet,#553592,85,53,146,261,47,39
light pastel purple,#b19cd9,177,156,217,261,45,73
magnolia,#f8f4ff,248,244,255,262,100,98
cyber grape,#58427c,88,66,124,263,31,37
dark pastel purple,#966fd6,150,111,214,263,56,64
spanish violet,#4c2882,76,40,130,264,53,33
lavender indigo,#9457eb,148,87,235,265,79,63
navy purple,#9457eb,148,87,235,265,79,63
electric indigo,#6f00ff,111,0,255,266,100,50
ksu purple,#512888,79,38,131,266,55,33
lavender purple,#967bb6,150,123,182,267,29,60
regalia,#522d80,82,45,128,267,48,34
royal purple,#7851a9,120,81,169,267,35,49
purple mountain majesty,#9678b6,150,120,182,269,30,59
amethyst,#9966cc,153,102,204,270,50,60
dark lavender,#734f96,115,79,150,270,31,45
deep violet,#330066,51,0,102,270,100,20
pale violet,#cc99ff,204,153,255,270,100,80
purple heart,#69359c,105,53,156,270,49,41
rebecca purple,#663399,102,52,153,270,49,40
russian violet,#32174d,50,23,77,270,54,20
violet,#7f00ff,127,0,255,270,100,50
blue-violet,#8a2be2,138,43,226,271,76,53
bright lavender,#bf94e4,191,148,228,272,60,74
grape,#6f2da8,111,45,168,272,58,42
electric violet,#8f00ff,143,0,255,274,100,50
vivid violet,#8f00ff,143,0,255,274,100,50
indigo,#4b0082,75,0,130,275,100,25
floral lavender,#b57edc,181,126,220,275,57,68
mauve,#e0b0ff,224,176,255,276,100,85
rich lavender,#a76bcf,167,107,207,276,51,62
bright purple,#a020f0,160,32,240,277,87,53
veronica,#a020f0,160,32,240,277,87,53
vivid violet,#9f00ff,159,0,255,277,100,50
languid lavender,#d6cadd,214,202,221,278,22,83
french violet,#8806ce,136,6,206,279,94,42
dark orchid,#9932cc,153,50,204,280,61,50
deep lilac,#9955bb,153,85,187,280,43,53
bright ube,#d19fe8,209,159,232,281,61,77
wisteria,#c9a0dc,201,160,220,281,46,75
dark violet,#9400d3,148,0,211,282,100,41
tropical violet,#cda4de,205,164,222,282,47,76
eminence,#6c3082,108,48,130,284,46,35
rich lilac,#b666d2,182,102,210,284,55,61
bright lilac,#d891ef,216,145,239,285,75,75
electric purple,#bf00ff,191,0,255,285,100,50
glossy grape,#ab92b3,171,146,179,285,18,64
purple plum,#9c51b6,156,81,182,285,41,52
heliotrope,#df73ff,223,115,255,286,100,73
ryb violet,#8601af,134,1,175,286,99,35
african violet,#b284be,178,132,190,288,31,63
medium orchid,#ba55d3,186,85,211,288,59,58
munsell purple,#9f00c5,159,0,197,288,100,39
purpureus,#9a4eae,154,78,174,288,38,49
vivid mulberry,#b80ce3,184,12,227,288,90,47
vivid orchid,#cc00ff,204,0,255,288,100,50
english violet,#563c5c,86,60,92,289,21,30
imperial,#602f6b,96,47,107,289,39,30
old heliotrope,#563c5c,86,60,92,289,21,30
pineapple,#563c5c,86,60,13,289,74,19
brilliant lavender,#f4bbff,244,187,255,290,100,87
electric lavender,#f4bbff,244,187,255,290,100,87
french lilac,#86608e,134,96,142,290,19,47
maximum purple,#733380,115,51,128,290,43,35
pomp and power,#86608e,134,96,142,290,19,47
dark purple,#301934,48,25,52,291,35,15
rich brilliant lavender,#f1a7fe,241,167,254,291,98,83
phlox,#df00ff,223,0,255,292,100,50
psychedelic purple,#df00ff,223,0,255,292,100,50
heliotrope magenta,#aa00bb,170,0,187,295,100,37
pastel purple,#b39eb5,179,158,181,295,13,66
chinese violet,#856088,133,96,136,296,17,45
dark magenta,#8b008b,139,0,139,300,100,27
deep fuchsia,#c154c1,193,84,193,300,47,54
deep magenta,#cc00cc,204,0,204,300,100,40
deep mauve,#d473d4,212,115,212,300,53,64
french mauve,#d473d4,212,115,212,300,53,64
fuchsia,#ff00ff,255,0,255,300,100,50
crayola fuchsia,#c154c1,193,84,193,300,47,54
fuchsia pink,#ff77ff,255,119,255,300,100,73
lavender magenta,#ee82ee,238,130,238,300,76,72
light grayish magenta,#cc99cc,204,153,204,300,33,70
lilac,#c8a2c8,200,162,200,300,26,71
magenta,#ff00ff,255,0,255,300,100,50
medium lavender magenta,#dda0dd,221,160,221,300,47,75
midnight,#702670,112,38,112,300,49,29
pale plum,#dda0dd,221,160,221,300,47,75
patriarch,#800080,128,0,128,300,100,25
pink flamingo,#fc74fd,252,116,253,300,97,72
plum,#dda0dd,221,160,221,300,47,75
purple,#800080,128,0,128,300,100,25
raisin black,#242124,36,33,36,300,4,14
crayola shocking pink,#ff6fff,255,111,255,300,100,72
steel pink,#cc33cc,204,51,204,300,60,50
thistle,#d8bfd8,216,191,216,300,24,80
ultra pink,#ff6fff,255,111,255,300,100,72
bright orchid,#ee82ee,238,130,238,300,76,72
mardi gras,#880085,136,0,133,301,100,27
orchid,#da70d6,218,112,214,302,59,65
pastel violet,#cb99c9,203,153,201,302,32,70
heliotrope gray,#aa98a9,170,152,168,303,10,63
rose quartz,#aa98a9,170,152,169,303,10,63
old lavender,#796878,121,104,120,304,8,44
light fuchsia pink,#f984ef,249,132,239,305,91,75
japanese violet,#5b3256,91,50,86,307,29,28
cool deep lilac,#8e4585,142,69,133,307,35,41
palatinate purple,#682860,104,40,96,308,44,28
razzmic berry,#8d4e85,141,78,133,308,29,43
light medium orchid,#d39bcb,211,155,203,309,39,72
pale magenta,#f984e5,249,132,229,310,91,75
byzantine,#bd33a4,189,51,164,311,58,47
byzantium,#702963,112,41,99,311,46,30
lilac luster,#ae98aa,174,152,170,311,12,64
pink lavender,#d8b2d1,216,178,209,311,33,77
purple taupe,#50404d,80,64,77,311,11,28
purple pizzazz,#fe4eda,254,78,218,312,99,65
hot magenta,#ff1dce,255,29,206,313,100,56
quartz,#51484f,81,72,79,313,6,30
dark byzantium,#5d3954,93,57,84,315,24,29
light orchid,#e6a8d7,230,168,215,315,55,78
razzle dazzle rose,#ff33cc,255,51,204,315,100,60
shocking pink,#fc0fc0,252,15,192,315,98,52
antique fuchsia,#915c83,145,92,131,316,22,46
lavender rose,#fba0e3,251,160,227,316,92,81
pearly purple,#b768a2,183,104,162,316,35,56
light deep pink,#ff5ccd,255,92,205,318,100,68
shampoo,#ffcff1,255,207,241,318,100,91
opera mauve,#b784a7,183,132,167,319,26,62
pink lace,#ffddf4,255,221,244,319,100,93
fandango,#b53389,181,51,137,320,56,45
fashion fuchsia,#f400a1,244,0,161,320,100,48
flirt,#a2006d,162,0,109,320,100,32
hollywood cerise,#f400a1,244,0,161,320,100,48
rose pink,#ff66cc,255,102,204,320,100,70
sky magenta,#cf71af,207,113,175,320,49,63
taupe gray,#8b8589,139,133,137,320,3,53
royal fuchsia,#ca2c92,202,44,146,321,64,48
frostbite,#e936a7,233,54,167,322,80,56
medium violet-red,#c71585,199,21,133,322,81,43
red-violet,#c71585,199,21,133,322,81,43
halayà úbe,#663854,102,55,84,323,29,31
mountbatten pink,#997a8d,153,122,141,323,13,54
super pink,#cf6ba9,207,107,169,323,51,62
medium red-violet,#bb3385,187,51,133,324,57,47
pink pearl,#e7accf,231,172,207,324,55,79
princess perfume,#ff85cf,255,133,207,324,100,76
french plum,#811453,129,20,83,325,73,29
imperial purple,#66023c,102,2,60,325,96,20
magenta-pink,#cc338b,204,51,139,325,60,50
maximum red purple,#a63a79,166,58,121,325,48,44
middle purple,#d982b5,217,130,181,325,53,68
sugar plum,#914e75,145,78,117,325,30,44
tyrian purple,#66023c,102,2,60,325,96,20
classic rose,#fbcce7,251,204,231,326,85,89
light hot pink,#ffb3de,255,179,222,326,100,85
magenta (process),#ff0090,255,0,144,326,100,50
persian rose,#fe28a2,254,40,162,326,99,58
barbie pink,#e0218a,224,33,138,327,75,50
magenta haze,#9f4576,159,69,118,327,39,45
mexican pink,#e4007c,228,0,124,327,100,45
amaranth deep purple,#9f2b68,159,43,104,328,57,40
boysenberry,#873260,135,50,96,328,46,36
deep pink,#ff1493,255,20,147,328,100,54
fluorescent pink,#ff1493,255,20,147,328,100,54
jazzberry jam,#a50b5e,165,11,94,328,88,35
magenta (dye),#ca1f7b,202,31,123,328,73,46
mulberry,#c54b8c,197,75,140,328,51,53
pantone pink,#d74894,215,72,148,328,64,56
red-purple,#e40078,228,0,120,328,100,45
vivid cerise,#da1d81,218,29,129,328,77,48
eggplant,#614051,97,64,81,329,20,32
kobi,#e79fc4,231,159,196,329,60,76
mystic maroon,#ad4379,173,67,121,329,44,47
pansy purple,#78184a,120,24,74,329,67,28
persian pink,#f77fbe,247,127,190,329,88,73
smitten,#c84186,200,65,134,329,55,52
twilight lavender,#8a496b,138,73,107,329,31,41
wild strawberry,#ff43a4,255,67,164,329,100,63
bright pink,#ff007f,255,0,127,330,100,50
dark liver,#534b4f,83,75,79,330,5,31
dark raspberry,#872657,135,38,87,330,56,34
deep cerise,#da3287,218,50,135,330,69,53
hot pink,#ff69b4,255,105,180,330,100,71
pale magenta-pink,#ff99cc,255,153,204,330,100,80
raspberry pink,#e25098,226,80,152,330,72,60
rose,#ff007f,255,0,127,330,100,50
rose bonbon,#f9429e,249,66,158,330,94,62
wild orchid,#d470a2,212,112,162,330,54,64
winter sky,#ff007c,255,0,124,331,100,50
brilliant rose,#ff55a3,255,85,163,332,100,67
lavender pink,#fbaed2,251,174,210,332,91,83
magenta (crayola),#ff55a3,255,85,163,332,100,67
china pink,#de6fa1,222,111,161,333,63,65
fuchsia purple,#cc397b,204,57,123,333,59,51
liseran purple,#de6fa1,222,111,161,333,63,65
pastel magenta,#f49ac2,244,154,194,333,80,78
thulian pink,#de6fa1,222,111,161,333,63,65
cotton candy,#ffbcd9,255,188,217,334,100,87
french fuchsia,#fd3f92,253,63,146,334,98,62
magenta (pantone),#d0417e,208,65,126,334,60,54
telemagenta,#cf3476,207,52,118,334,62,51
dogwood rose,#d71868,215,24,104,335,80,47
rubine red,#d10056,209,0,86,335,100,41
vivid raspberry,#ff006c,255,0,108,335,100,50
carnation pink,#ffa6c9,255,166,201,336,100,83
cerise pink,#ec3b83,236,59,131,336,82,58
deep ruby,#843f5b,132,63,91,336,35,38
mimi pink,#ffdae9,255,218,233,336,100,93
old mauve,#673147,103,49,71,336,36,30
queen pink,#e8ccd7,232,204,215,336,38,85
violet-red,#f75394,247,83,148,336,91,65
wine dregs,#673147,103,49,71,336,36,30
fuchsia rose,#c74375,199,67,117,337,54,52
medium ruby,#aa4069,170,64,105,337,45,46
raspberry,#e30b5d,227,11,92,337,91,47
ruby,#e0115f,224,17,95,337,86,47
amaranth pink,#f19cbb,241,156,187,338,75,78
english lavender,#b48395,180,131,149,338,25,61
fandango pink,#de5285,222,82,133,338,68,60
french rose,#f64a8a,246,74,138,338,91,63
irresistible,#b3446c,179,68,108,338,45,48
maroon (x11),#b03060,176,48,96,338,57,44
mystic,#d65282,214,82,130,338,62,58
pictorial carmine,#c30b4e,195,11,78,338,89,40
quinacridone magenta,#8e3a59,142,58,89,338,42,39
raspberry rose,#b3446c,179,68,108,338,45,48
razzmatazz,#e3256b,227,37,107,338,77,52
rich maroon,#b03060,176,48,96,338,57,44
debian red,#d70a53,215,10,83,339,91,44
french pink,#fd6c9e,253,108,158,339,97,71
nadeshiko pink,#f6adc6,246,173,198,339,80,82
pink raspberry,#980036,152,0,54,339,100,30
ruber,#ce4676,206,70,118,339,58,54
ua red,#d9004c,217,0,76,339,100,43
cameo pink,#efbbcc,239,187,204,340,62,84
charm pink,#e68fac,230,143,172,340,64,73
china rose,#a8516e,168,81,110,340,35,49
lavender blush,#fff0f5,255,240,245,340,100,97
light thulian pink,#e68fac,230,143,172,340,64,73
pale red-violet,#db7093,219,112,147,340,60,65
pale violet-red,#db7093,219,112,147,340,60,65
rose red,#c21e56,194,30,86,340,73,44
spanish carmine,#d10047,209,0,71,340,100,41
folly,#ff004f,255,0,79,341,100,50
sasquatch socks,#ff4681,255,70,129,341,100,64
strawberry,#fc5a8d,252,90,141,341,96,67
amaranth purple,#ab274f,171,39,79,342,63,41
blush,#de5d83,222,93,131,342,66,62
dark pink,#e75480,231,84,128,342,75,62
deep tuscan red,#66424d,102,66,77,342,21,33
m&p carmine,#d70040,215,0,64,342,100,42
orchid pink,#f2bdcd,242,189,205,342,67,85
rich carmine,#d70040,215,0,64,342,100,42
tickle me pink,#fc89ac,252,137,172,342,95,76
utah crimson,#d3003f,211,0,63,342,100,41
cerise,#de3163,222,49,99,343,72,53
cherry,#de3163,222,49,99,343,72,53
cinnamon satin,#cd607e,205,96,126,343,52,59
claret,#7f1734,127,23,52,343,69,29
light crimson,#f56991,245,105,145,343,88,69
